station_id,date,value
BLF,1985-05-01,25.8
BLF,1986-02-01,20.1
BLF,1986-03-01,47.1
BLF,1986-04-01,57.4
BLF,1986-05-01,54.5
BLF,1987-02-01,5.3
BLF,1987-03-01,10.2
BLF,1987-04-01,14.7
BLF,1987-05-01,8.6
BLF,1988-02-01,17.3
BLF,1988-03-01,17.1
BLF,1988-04-01,15.2
BLF,1988-05-01,15.7
BLF,1989-03-01,21.8
BLF,1989-04-01,25.3
BLF,1989-05-01,17.4
BLK,1980-01-01,14.3
BLK,1980-02-01,25.7
BLK,1980-03-01,41.4
BLK,1980-04-01,45.4
BLK,1980-05-01,42.0
BLK,1981-01-01,4.5
BLK,1981-02-01,15.6
BLK,1981-03-01,16.6
BLK,1981-04-01,25.5
BLK,1981-05-01,20.4
BLK,1982-01-01,25.6
BLK,1982-02-01,31.4
BLK,1982-03-01,34.3
BLK,1982-04-01,52.4
BLK,1982-05-01,49.0
BLK,1983-01-01,26.7
BLK,1983-02-01,38.0
BLK,1983-03-01,47.5
BLK,1983-04-01,68.0
BLK,1983-05-01,74.0
BLK,1983-06-01,66.2
BLK,1984-01-01,29.8
BLK,1984-02-01,28.9
BLK,1984-03-01,36.0
BLK,1984-04-01,38.0
BLK,1984-05-01,39.4
BLK,1985-01-01,18.1
BLK,1985-02-01,20.0
BLK,1985-03-01,23.3
BLK,1985-04-01,33.8
BLK,1985-05-01,21.1
BLK,1986-01-01,14.0
BLK,1986-02-01,18.6
BLK,1986-03-01,43.2
BLK,1986-04-01,48.2
BLK,1986-05-01,41.5
BLK,1987-01-01,4.7
BLK,1987-02-01,6.4
BLK,1987-03-01,14.4
BLK,1987-04-01,19.0
BLK,1987-05-01,9.1
BLK,1988-01-01,15.8
BLK,1988-02-01,19.4
BLK,1988-03-01,20.0
BLK,1988-04-01,16.6
BLK,1988-05-01,13.2
BLK,1989-01-01,17.1
BLK,1989-02-01,19.1
BLK,1989-03-01,22.8
BLK,1989-04-01,31.3
BLK,1989-05-01,22.8
BLK,1989-06-01,6.7
BLS,1980-02-01,12.8
BLS,1980-03-01,19.0
BLS,1980-04-01,26.7
BLS,1980-05-01,17.2
BLS,1981-02-01,0.0
BLS,1981-03-01,13.7
BLS,1981-04-01,20.5
BLS,1981-05-01,5.0
BLS,1982-02-01,18.8
BLS,1982-03-01,16.0
BLS,1982-04-01,20.2
BLS,1982-05-01,23.1
BLS,1983-02-01,31.3
BLS,1983-03-01,45.6
BLS,1983-04-01,56.5
BLS,1983-05-01,55.3
BLS,1983-06-01,46.8
BLS,1984-02-01,8.9
BLS,1984-03-01,11.7
BLS,1984-04-01,3.9
BLS,1984-05-01,0.0
BLS,1985-02-01,14.8
BLS,1985-03-01,19.8
BLS,1985-04-01,21.4
BLS,1985-05-01,7.6
BLS,1986-02-01,11.7
BLS,1986-03-01,27.0
BLS,1986-04-01,23.4
BLS,1986-05-01,1.3
BLS,1987-02-01,6.9
BLS,1987-03-01,10.0
BLS,1987-04-01,12.8
BLS,1987-05-01,0.0
BLS,1988-02-01,16.3
BLS,1988-03-01,10.3
BLS,1988-04-01,0.0
BLS,1988-05-01,0.0
BLS,1989-02-01,13.0
BLS,1989-03-01,18.4
BLS,1989-04-01,15.2
BLS,1989-05-01,1.4
BLU,1980-04-01,17.2
BLU,1981-04-01,4.8
BLU,1982-04-01,11.0
BLU,1983-04-01,20.8
BLU,1984-02-01,15.2
BLU,1984-04-01,14.5
BLU,1985-02-01,9.5
BLU,1985-04-01,12.4
BLU,1986-02-01,6.0
BLU,1986-04-01,7.7
BLU,1987-02-01,3.2
BLU,1987-04-01,8.8
BLU,1988-02-01,7.1
BLU,1988-04-01,4.6
BLU,1989-02-01,13.4
BLU,1989-04-01,13.2
BMD,1980-01-01,11.4
BMD,1980-02-01,28.9
BMD,1980-03-01,49.1
BMD,1980-04-01,59.6
BMD,1980-05-01,53.8
BMD,1981-01-01,5.3
BMD,1981-02-01,15.2
BMD,1981-03-01,18.3
BMD,1981-04-01,27.3
BMD,1981-05-01,23.3
BMD,1982-01-01,26.4
BMD,1982-02-01,31.3
BMD,1982-03-01,36.9
BMD,1982-04-01,55.8
BMD,1982-05-01,58.4
BMD,1982-06-01,37.9
BMD,1983-01-01,24.0
BMD,1983-02-01,38.0
